ID,meranaw_proverb,literal_translation_meranaw,english_translation,interpretation,augmented_interpretation,Theme
53,Ino kon ari sa imboko i da ta sa pikir iyan nago sa ipagotantang i da ta ko darem iyan.,Ino aken raranona ago miya awid a akal i di ta niyan khabayaan.,"Why would I get worried and care, she doesn't love me","The speaker is asserting emotional detachment, possibly masking pain. It’s a declaration of moving on from unreciprocated love.","The speaker claims emotional detachment, possibly hiding pain, and declares moving on from one-sided love.",Courtship/Marriage
54,Mada' bo so pesepot na somambi so tadman.,Malngan ka bo anan na khato-osan ko so tadman ka raken a mapiya ka mapendingan-dingan ka bo.,"When all the things in you are spent, that is when you will remember the goodness that I have 
given you.","This speaks of unappreciated love. The speaker warns that once the listener’s pleasures or options are gone, they will remember the one who truly cared 
for them. It's a reflection of taken-for-granted affection.","This is about love being taken for granted. The speaker warns that when other things are gone, the listener will realize the value of the one who truly cared. It reflects on affection that wasn't appreciated.",Courtship/Marriage
55,Kariray o miyanik na kaya ko piyanikan,Pekha mamala so miyanganakan na pekhaya mambo so piyanganakanan,Both the pursuing man and the courted woman show shyness.,"This shows mutual awkwardness or restraint in traditional courtship. It highlights the modesty or hesitation typical in early stages of love, where neither 
party is bold enough to act fully.","This shows shared shyness or reserve in traditional dating. It highlights the modesty or hesitation common in early love, where neither person is confident enough to fully express themselves.",Courtship/Marriage
56,Karam o tantangi ko so an a motantang ko ron.,Di aken den geneken so taw a pekha bayaan aken.,"I cannot stop her, for she has my love for her.","Even if the woman leaves or does something unexpected, the speaker cannot resent her because of deep love. It’s a passive but loyal expression of 
emotional surrender.","Despite any actions by the woman, the speaker cannot feel resentment due to deep love. It's a passive but loyal expression of complete emotional devotion.",Courtship/Marriage
57,Da layag si layagen ka liyayag o layagen,Da ako panganakan ka saken i piyanganakanan.,"I did not say it (my love for her), but it was them who were intimate.","This may refer to emotional or physical closeness happening between others, while the speaker loved silently. It suggests jealousy, regret, or frustration 
over lost chances due to unspoken feelings.","This may refer to others becoming close while the speaker loved in silence. It suggests jealousy, regret, or frustration about missed opportunities because of not speaking up.",Courtship/Marriage
58,Di ako phaki indig ka o ka-indigi ako na manok ako a layam a maka rarangkirba.,Di ngka raken anan pagraren ka saken na mambo na maka lalalonga ako.,"Don’t provoke me with your deceit because I do not provoke, for when I provoke, I am a deceiver.","This is a warning about trust and betrayal. The speaker declares their honesty but implies they are capable of deceit if pushed—revealing a vulnerable 
threshold between love and retaliation.","This warns about trust and betrayal. The speaker claims honesty but suggests they could be deceitful if provoked, showing a delicate line between love and revenge.",Courtship/Marriage
59,Da a mabilaw a taw o da a matawakalen.,Di khakowa mapiya so taw a di masarakanen,No one can prosper and make progress in life unless he/she has courage.,"While general, in courtship it urges one to be brave in expressing love, proposing, or committing. Love (and life) requires stepping out of comfort zones.","In dating, this encourages bravery in expressing love, proposing, or committing. Love (and life) requires taking risks.",Courtship/Marriage
60,Pag-ingati ngka ramig so phikandiri ngka lalag a miya nget a pandapat ka o di pag-onganeni na kiropa sa di tangkap.,Phiyapiyai ngka so ba ngka bo katharo ka raranan a ikha-pitas ka,"Take caution with what you say, as it may result in your failure to accomplish what you set out to 
do.","This emphasizes tact and thoughtfulness in communication during courtship. A wrong word or careless statement can ruin one’s chances in love or 
marriage.",This emphasizes careful communication during dating. A wrong word can destroy one's chances in love or marriage.,Courtship/Marriage
61,Kalopindo perarem a pendapo sa bo-ongan na madiyadi ka phayag ka bethowan ka sa ngaran.,Hay! manganganakan ino ka baden di phaki tokaw ka an ami katokawi o pethanto ka.,"Gentleman, why don’t you say or express what you have in mind for us to conclude that you are 
determined.","A call for clarity and honesty. The speaker (possibly a woman or her family) demands clear intentions—don’t lead someone on or stay silent. If you mean it, 
declare it boldly.","This calls for clear and honest intentions. The speaker (possibly a woman or family) asks for directness—don't mislead or be silent. If you're serious, say so openly.",Courtship/Marriage
62,Ba aden ari a pikhilatan a ba da a palaw niyan sa kandadamdag iyan ko kaphag-odayaw o ig.,Ba aden a mangangaroma a ba da a tamok iyan.,"Is there anybody who declare to marry without a Dowry (Money and other assets required for 
marriage)?","Marriage is not just about love—it involves tradition, responsibility, and material readiness. The dowry here symbolizes a family's preparedness and respect 
for custom."," Marriage involves more than love—it includes tradition, responsibility, and financial readiness. The dowry symbolizes a family's preparation and respect for customs.",Courtship/Marriage
63,"Anda i tompok a libon a omban-omban a baning a tamlang binarisan, na ba niyo den payaga i mborodan on sa ranon ka amay 
ka masino ta a makawanan so ponay na madiyowang so legawan na man oto tano nggibas ka tomarokon kami ron a pat gatos miyorod.","Anda i kaphayag ka sa lalag a di ngka pen paka balsen ka amay ka ba alo-alo bo ka di benar so 
tothol na an tano maka mbla-belag ka ayami den onotan a pamikiran a pat a shak-sakeb sa ngkai a 
warisan ami.","When are you going to declare your intention not to prolong the agony? If you are joking, you 
may part away and we will join you and part away too.","This urges clarity and seriousness in courtship. Love should not be toyed with; if intentions are insincere, then both sides should walk away rather than 
suffer emotional uncertainty.","This urges clear and serious intentions in dating. Love shouldn't be played with; if intentions aren't sincere, both should end it to avoid emotional pain.",Courtship/Marriage
64,Ino ko di tangkeda a kawali ko so sapad a mapiya anda tampar na pagalad ako niyan.,"Ino aken di tatarimaa a pagidaan aken i mapiya anda song na paka o-onoten ako niyan odi na 
mapiya anda dingil na pekailay ako niyan.","Why should I doubt that she is my love when she invites me to accompany her wherever she 
goes and her gaze is always on me?","Actions speak louder than words—her affectionate gestures and consistent presence give him confidence in her love, removing all doubts.","Her loving actions and constant presence assure him of her love, removing any doubt.",Courtship/Marriage
66,O tanto ka phag-inged sa Guindolongan Marogong na bangoni ngka sa pandi ka payongan ko seka on sa bolawan datomanong.,O baka phangaroma na payag kano sa lalag ka salamaten ami seka.,"If you decide to live with us in this community through marriage, then let it be known so we may 
extend our warmest welcome.","Marriage is viewed not just as a union between individuals but as a bond between families and communities. Openly declaring intentions allows for 
acceptance, celebration, and preparation.","Marriage is seen as uniting families and communities, not just individuals. Openly stating intentions allows for acceptance, celebration, and planning.",Courtship/Marriage
67,"Gowani ko ba den tig so khi-talingoma masa ko mosim a songgod a ig na antara so madakel, nago mbales so maana na kiya 
tokawan o taw a an a pendiyamongen a isa bo sa pompongan na di ta ipangangandam sa ba di ondas sa rinaw ka domaramba si 
mirag na mapiya maka sonsang sa bagiyo a marodo na di den mbaroba maog ka miya patri saleg o lalawo' a da mada', na o 
katig si maranday na minsan maka sagansang sa latasan o bagiyo na di pharin pekhoyakas ka pekha kembang salindaw o tolos a da 
marendan, na aya lalag aken on na dara-an shidan tano a kaplabo o masa ko kapembetadan iyan a lalag o Simban a taw.","Sii ko paganay a matag baden bantaan a aden a phaka talingoma na mapephangantok a pamikiran, 
na so kiya paka talingoma iran na kiya tokawan a den bes a paka pethapi-in a isa bo sa bangensa, na 
di ta ika-awan ka o pagayon-ayon so manga lolot ago so manga dato, na mapiya i awid a akal on na 
khada' -aya sabap iyan na kagiya maka ookit ko katho-tonganaya ago so kaisai-isa ko bangensa-na 
ilain tano den i kakha-samporna iyan","We have just stories of intent to begin with, and we will not make any assumptions. When they 
arrive, we know that there will be nobles who will unite through marriage, and we need not be 
concerned that this will not happen provided all of their families and leaders extend harmonious 
support—so that any issue or hindrance will be removed. As a result, let us wait and see when it 
will be completed.","This reflects cultural diplomacy and patience. The community refrains from assumptions until proper declarations and family consent are given. Unity and 
harmony among families are vital for marriage to proceed smoothly.",This reflects cultural sensitivity and patience. The community avoids assumptions until proper announcements and family approval are given. Family unity is essential for a smooth marriage.,Courtship/Marriage
68,"Gowani ko ba den tig so khi-talingoma masa ko mosim a songgod a ig na antara so madakel, nago mbales so maana na kiya tokawan o 
taw a an a pendiyamongen a isa bo sa pompongan na di ta ipangangandam sa ba di ondas sa rinaw ka domaramba si mirag na 
mapiya maka sonsang sa bagiyo a marodo na di den mbaroba maog ka miya patri saleg o lalawo' a da mada', na o katig si maranday 
na minsan maka sagansang sa latasan o bagiyo na di pharin pekhoyakas ka pekha kembang salindaw o tolos a da marendan, 
na aya lalag aken on na dara-an shidan tano a kaplabo o masa ko kapembetadan iyan a lalag o Simban a taw.","Miya payag ago miyaka liwanag so lalag na kiya tokawan, na so den so kiya paka pemamasa-i ko 
kalilimod a da a ba on awid a akal ka kiya tokawan a giya ngkai a mangangaroma na phoon a 
bangensa ko tingki a ngkai a phamala-iyan na miya satiman so tindeg na baanda siran maka 
pethatarosa.","Obviously, we are told that we will be able to witness this peaceful event and that there will be 
no obstructions. Since the bride is from a well-known family, equally sharing the same nobility, 
prestige, and honor with the family of the bridegroom, we are unanimous that it shall soon be 
materialized.","A formal and optimistic view on a prestigious marriage alliance, emphasizing equality in family background and status. The path is seen as smooth due to 
mutual respect and readiness.","This is a formal and positive view of a high-status marriage, emphasizing equal family backgrounds. The marriage is expected to be easy due to mutual respect and preparation.",Courtship/Marriage
69,Anda i alongan shidan a kilakiten ki ladan ka an kami ron di sawang.,Anda i kaphanoksam iyo ka an kami di kadadarai.,When are you planning to make your proposal? So we may not be curious while waiting,"An invitation for clear communication and decisive action. The speaker encourages the suitor to act soon to avoid dragging the situation and causing 
unnecessary speculation or emotional strain.",This encourages clear communication and quick action. The speaker urges the suitor to act soon to avoid prolonging the situation and causing worry or emotional stress.,Courtship/Marriage
70,"So sagorompong a bok na kowa ka on sa isa na di khatod a igakot, na o maka mbabi-babid na phaka ren sa barko – na so tarintik a 
oran na di niyan khawasaan so tomi-timbok a pethad, na igira miya timo na mag-ondas na bagiyo.","So kapamagogopa na o masagom-parak a matabis so sakataw na di phaka ren, na so kai-isaisa bager.","There is power in togetherness, and there is failure in separation.","Unity brings strength, especially in leadership and governance. Division weakens a community, a family, or even a royal house. This is a foundational 
principle in traditional Meranaw society.","Unity creates strength, especially in leadership. Division weakens a community, family, or royal house. This is a core value in Meranaw culture.",Enthronement/Genealogy/Leadership
71,"Kanogon o Unayan a ba den kiya sagadan o lalaog a da mada' na nogon o madalendeg a ba den siyarigidan o tolos a da marendan na 
katii so Bayabao a kiya sampornaan ko tihaya maka ombaw a ini ombaw a manis o Ranaw a rangka manis.","Giya kon a Unayan na matag on somiyagad so Mapiya ago kiyasariyatan, giya Bayabao na ron 
miyangimpoon so menang ago so kiyatagumpiya a Ranaw.","It is indeed unfortunate that Unayan is only a small percentage of Ranaw's people, whereas 
Bayabao is the source of the people who made Ranaw a magnificent nation.","This reflects an acknowledgment of demographic reality and historical pride—Unayan is smaller, while Bayabao contributed more prominently to the 
greatness of Ranaw. It hints at genealogical roots and pride in lineage.","This acknowledges historical pride—Unayan is smaller, while Bayabao contributed more to Ranaw's importance. It suggests pride in family history and origins.",Enthronement/Genealogy
72,Mapay pen sa pelabi ko talentak o Taraka nago sa pendalomabi I tanan on samporna.,Di kano aki dii mbologan sa katharo sa ba niyo kalawani a Taraka (Masiu) ka ron kano maa-amor a manga taw sa Ranaw.,"Taraka (Masiu) is where Masiu comes from, so don't talk too much in advance.","A reminder to show respect for origins and refrain from speaking boastfully, especially when in the presence of or about historical places like Taraka and 
Masiu, which hold ancestral and political significance.","This reminds people to respect origins and avoid boasting, especially around historical places like Taraka and Masiu, which are important to ancestors and politics.",Enthronement/Genealogy
73,Paganay a mbekasen so olaola kandato na taritiba ngka so taw na kompasa ngka so inged.,Paganay a penggolaolaan ka ko kiya dato ka na tatanora ngka so madakel a taw ago tataritiba ngka so inged.,"As a leader, the first thing you will do is manage the people and organize the community","Effective leadership begins with people management and community organization. This statement prioritizes governance and civil order as fundamental 
duties of any enthroned leader.",Good leadership starts with managing people and organizing the community. This statement emphasizes governance and order as essential duties of a leader.,Enthronement/Genealogy/Leadership
74,Idagsha so lama na tanoren so paso-ay,Deshaan ka so torogan (lama-lama o dato) na lilimpiyowa ngka so manga lalan san ko manga rarata a ongar.,"Make the streets clean and organize the people so that they can work better together. Sanitize the 
streets of the people who have broken the law. This would also mean that the office (torogan) 
would be properly set up and that the people would be organized so that other tasks and 
responsibilities could be delegated to them.","A metaphorical and literal call for clean governance. The “cleaning of streets” symbolizes restoring public order and moral authority. The torogan (royal
house) is seen as a seat of leadership that must be run efficiently and justly.",This calls for honest governance. 'Cleaning streets' symbolizes restoring public order and moral authority. The royal house must be run fairly and efficiently.,Enthronement/Genealogy
75,"Da kawanan da ramig, na da diyowang da pagari",Oba ka dii shoramig sa lolot-mapiya lolot ka i phanganiyaya na began ka so kabnar ko taw a kha-aniyaya.,Be fair without nepotism. Judge the people according to your fair judgment without bias.,"This advocates for just leadership, free from favoritism. A good leader should base decisions on truth and fairness, not family ties or power dynamics.","This supports fair leadership, without favoritism. Good leaders should make decisions based on truth, not family or power.",Leadership
76,"Na mapiya mata-tangked a maono-ay so delem a thatagoma so robas, na o an maneg ka a pekhasawalan sa tig na barabadan so 
lalan na pephanalani ngka den.","Na mapiya madalem a gawii nago aden a kha-ontaling ka a dii phapawala, na pamarabadi ngka 
so lalan na songwi ngka, di ngka penayawaa kasongwan ka iran.","When conflict arises, even during the darkest night, use a torch and go to the place where the 
conflict happened, and never wait until the people inform you of such a conflict.","True leadership is proactive. One must act decisively in resolving disputes, rather than being passive or waiting for problems to be reported. The ""torch"" 
symbolizes wisdom, vigilance, and courage.","True leaders take action. They solve problems directly, not passively. The 'torch' represents wisdom, alertness, and courage.",Enthronement/Genealogy
77,"Marawraw so Tebok a dibaloy a Malabang a bagabay a Silungan a rimbang a Maguindanao a pimbekenan o Anta a miyangombaw i 
bantog ko sapasagi ko ragat. (Pananaroon o Anta sa Tubok)","Mapiya i paras a Tubok ka lagid a Malabang a tingki a Silungan sa Maguindanao a piyaginetawan 
o Anta a kiya dayo-an a bangensa ko saopak ko peragatan.","Tubok is beautiful, just like Malabang and Silungan in Maguindanao, where the ambilineal of 
Anta is based and is known all over the other side of the sea.","This praises certain places and their ancestral heritage—particularly Tubok, Malabang, and Silungan. It also references ambilineal descent, suggesting 
prestige and fame that reaches even beyond local shores.","This praises places like Tubok, Malabang, and Silungan for their history. It also mentions family lines, suggesting widespread prestige and fame.
",Enthronement/Genealogy/Leadership
78,"Boklod a minombaw a man so naga somalong a kini pantaw a Pikong a mithalikop i bantog ka sabapan den ko Nago a ino 
mirangka-lawan ka da ma-ako sawalen o taw ko linding o Ranaw ka tanan iyan bangensa. (Pananaroon o Nago sa Pikong)","Maka oombaw a Pikong a loma-langkap so bantogan iyan ka sabap den ko Nago a ino 
mithagodaya ka di kha-kelo o taw sa Ranaw ka kagiya palaya iyan bangensa.","It's like a dragon: Pikong is famous because of Nago, who stands out. In fact, the people of Ranaw 
have never been able to get it because they all have the same ancestor.","A poetic expression of clan prestige and individual distinction. Even in a society with common ancestry (like Ranaw), certain names (like Nago of Pikong) 
still rise and are remembered—like a dragon among men.
","This is a poetic expression of family honor and individual greatness. Even in a society with shared ancestry, some names are famous—like a dragon among men.",Enthronement/Genealogy
79,"Makoranda so Butig a lomiyabaw Marogong a maona katpadan o lalaog a da' mada a ini ombaw a manis o Madalendeg Anonen ka 
aya bo pirogongan ka sabapan ko Asiyah a Paramata sa Butig. (Pananaroon o Asiyah sa Butig)","Mapiya i paras a Butig a ini pangombaw a Marogong (Unayan) a aya kiya poonan o bangensa 
a kiya paka ombaw niyan ka kagiya so Asiyah sii sa Butig.","Butig is beautiful, making Marogong Madalendeg unconquered and ahead—the very 
first place where people originated because of Asiyah.","This references sacred genealogical history. Butig, a revered place, is seen as the origin of peoples through a key ancestor named Asiyah, and Marogong 
Madalendeg is portrayed as unconquered and proud.
","This references sacred family history. Butig is seen as the origin of people through ancestor Asiyah, and Marogong Madalendeg is described as strong and proud.",Enthronement/Genealogy
80,"Marandang a bantayan a Maorintang Anonen a sindigan a Taraka a abay a Samporna ka nanao sa Maganding a mona kiya 
sengko-an o daradiyat a langkap a kormat a lalayon ko Oray Pindawadawa sa Arkata Masiu. (Pananaroon o Pindawadawa Oray sa Masiu)","Tanto a matanos a Maorintang Anonen a kapapadalman sa Taraka a tingki a Samporna 
sabap sa giya Maganding na ron paganay a maka sengko so monapona a basalen a ka daradiyat a 
ini pelila-lilang ko Pindawadawa Oray sa Masiu.","When the first kolintang was played in Maganding, it sounded like Masiu's Pindawa-dawa 
Oray. This makes Maorintang Anonen, where Taraka is, a good place to live.","A symbolic blending of music, culture, and geography. The kolintang, a traditional musical instrument, represents heritage. The comparison ties places like 
Maganding, Masiu, and Taraka together through their shared cultural beauty, suggesting harmony and desirability.","This combines music, culture, and geography. The kolintang, a musical instrument, represents heritage. The comparison connects places through shared cultural beauty, suggesting harmony and appeal.",Enthronement/Genealogy
81,"Boklod a minombaw a man so naga somalong a kini pantaw a Pikong a mithalikop i bantog ka sabapan den ko Nago a ino 
mirangka-lawan ka da ma-ako sawalen o taw ko linding o Ranaw ka tanan iyan bangensa. (Pananaroon o Nago sa Pikong)","Anda i inged odi na antawaa ko manga lolot i da on kapiya-i phoon ko kapephaka poro iyan a 
pekha kowa mapiya. Odi na anda ko manga inged i ba niyan di bangensa","Where and who among the communities and relatives, respectively, have not benefited from its 
development and goodness? Or who among the communities is not related to him?","This line emphasizes the far-reaching influence and kinship of a prominent leader or royal figure. It praises a leader whose positive impact and bloodline 
extend to nearly all communities—suggesting near-universal connection and reverence.
→ Used to legitimize someone's enthronement due to both merit and genealogy.","This emphasizes the widespread influence of a leader, praising their positive impact and family connections across communities. → Used to justify someone's leadership based on their abilities and family.",Enthronement/Genealogy
82,Barokan ta a lalag ta a ron ta mada' ma-aden na betad a ongangen ta a ron ta masamporna.,"Saden sa kiya tamanan ko barokan ka ago so katharo ka na ron ka den kha-akhir, na sa den pen 
sa sindadan o kata-o ago so ongangen ka na ron ka den khapantagi a kapatay","You may end up in your hands and words, and the depth of your knowledge and wisdom has 
reached a point where you will perish.","A cautionary statement about pride and overconfidence. It warns that a person’s own actions (hands) and speech (words)—especially when laced with 
arrogance—can lead to their downfall, even if they are wise or learned.
→ A reminder for leaders to remain humble and restrained.","This warns against pride. It says that arrogance in actions and words can cause a person's failure, even if they are wise. → A reminder for leaders to be humble.",Enthronement/Genealogy/Leadership
83,"Da sa oway da sa di, na da sa miphagendokan.",Taw a pekha dowa-dowaan a da sa shorong-megendod.,People who are unable to make their own decisions are said to be confused.,"Leaders—or even common folk—who are indecisive are viewed as lacking clarity or competence. Decision-making is seen as a basic trait of leadership 
and wisdom.",Indecisive leaders are seen as incompetent. Making decisions is considered a basic part of leadership and wisdom.,Enthronement/Genealogy/Leadership
84,"Rapenet-lintad kano ka pembalingan sa poro so andang a taw sa langit na so maginalong peman a lombos a paranakan na ino di 
kasalongi ka aya bo di khatimbang a tindos a pagimanan.","Tareg kano! Ka phakaoma so mapiya a taw a pendato ka ino ari i belos a mapiya a taw a ino di 
den khatingki ka sekaniyan bo i mapipikir o pagtaw.","Calm down and welcome! This good man will lead us because he has always been completely 
good; the reason he cannot be compared is because people remember him constantly.","A warm, celebratory endorsement of a new leader. His track record of goodness makes him beloved and ""unmatched,"" hence worthy of remembrance and 
the role of leadership.
→ A way of rallying support behind an enthroned figure, emphasizing both his moral character and reputation.","This warmly supports a new leader. His goodness makes him loved and 'unmatched,' deserving of leadership. → A way to gather support for a leader, highlighting his good character and reputation.",Enthronement/Genealogy
85,"Kagiya pendato ka na taritiba angka so taw na kompasa ngka so inged ka an ka katokawi a piyaka pha-pangkata o kokoman ko 
marandang, na oba ka paki ampit ko kalimbaba-an ka, ka aya ngka phag-ampita ka giyoto i kandato. Na oba ka pamlalag sa 
madakel a kilangan na mada reka so sarig.","Aya kandato na tatanora ngka so mga taw na oba ka pephanonogo ko mga kababaan i daradat 
ago betad, seka i pephaki sogo kiran ka giyoto i kandato. Na oba ngka siran sorongi sa akal ka kada’an siran reka sa sarig","Leadership is not allowing the low strata of society to dictate you. Being the one commanding 
them to do something is the best type of good leadership. Never deceive any of them, for they 
may lose their trust and confidence in you.","This reflects a top-down leadership philosophy, where authority and command must be exercised decisively. Yet it also warns against abuse of power or 
dishonesty, as trust from the people is critical to sustained leadership.","This reflects a strong leadership style, where authority is used firmly. But it warns against misusing power, as public trust is essential for lasting leadership.",Enthronement/Genealogy
86,"Miya kapiya a Ranaw ka so da mbaloy a towan na mimbaloy a olama na miyakala so pando sa genekan so pa-awing na baden 
miyaka labaw a kiya ndakel o mawag ka so makro ko gowani na imanto na paralo.","Kiya binasaan a Ranaw ka mapiya so da misampay sa towan na somiyayan sa ‘olama’, na 
mindakel so miya aden a mawag na mapiya so haram na biyaloy a halal.","It's hilarious! For those who are not even worthy to be Ulama worshippers but pretend to be 
intellectuals, Ranaw is approaching disaster. As a result, the presence of humiliating deeds is 
necessary in order for activities that were previously forbidden to be recognized as ethically 
right.","A sharp social critique, warning about fake scholars or pseudo-intellectuals who corrupt society. When unworthy people claim authority—especially 
religious or moral—it leads to decline or chaos. The sarcastic tone (""it's hilarious!"") emphasizes the absurdity and danger of their influence.","This criticizes fake scholars who harm society. When unqualified people claim authority, especially religious or moral, it causes chaos. The sarcasm emphasizes how ridiculous and dangerous their influence is.",Enthronement/Genealogy
87,Pephag-odayaw so ig na magegenteng a sathak na phag-orog sa kalodan na ma-anget a sa-igis.,Pephag-ambog so taw a da bo a katawan ta a rek-rek iyan inonta ko miyaka itoito.,Don't be arrogant or proud because you have the least assets.,"A direct criticism of someone who acts superior despite having no basis—such as wealth, status, or skill.","This directly criticizes someone who acts superior without reason, like wealth or skill.",Argumentation
88,Ino a miyaneg ko a milo-lonto so sawaw na da bo a papar iyan.,"Aya katawi ko rekaniyan ko kapkhanega ko ron na aden a rek iyan odi na mapiya a dii 
mindolona -takinoba a di benar ka da' rekaniyan a ngkoto a ilayan aken rekaniyan.","I assumed he belonged to a higher position or was someone who was nice to deal with, but I was 
mistaken. He's not the person I expected.","A disappointment in someone who appeared admirable at first, but later revealed themselves to be unworthy or different.",This expresses disappointment in someone who seemed good but turned out to be bad or different.,Argumentation
89,"Anda i sokor mag-antag na so katatangka-i ron, na di ka perang-lebi ka di ka maka lebi.","So panagontaman ago panamar ko nganin ko doniya na sa bo sa kiya sosokodan, na di ka dii phatokal ka di ka bo 
bara-tokal.","The best way is to live a pleasant and moderate life, without being overly proud because you have 
nothing to be proud of.","Encourages moderation and humility, pointing out that pride without substance is misplaced.","This encourages being humble, saying pride without reason is wrong.",Argumentation
90,Phagendod si sinambong na kakaporan iyan bo.,Pagoway a kapened ah na kakapetan iyan bo odi na di magso’so’ na kakapetan iyan bo,He is limiting his options while attempting to accomplish anything.,A critique of someone who restricts themselves—perhaps through poor decisions or narrow thinking—making success unlikely.,"This criticizes someone who limits themselves, making success unlikely.
",Argumentation
91,Idar-dar a rogong na rarosan o maothang na rarag o maka tana.,"Tanto a mala a kapkha nega on a taw sii ko 'ilmo, tamok, menang ago betad na takinoba ka 
kagiya a maka tana na miyaka itoito ago miyaka khap-khap","A person who was thought to be intelligent, wealthy, and honorable ended up being unworthy 
due to his impolite personality and poor performance.","Reveals that external traits or reputation are not enough; true worth lies in character and competence.
→ Don't be deceived by appearances—observe actions and attitude.",External appearance and reputation aren't enough; true worth is in character and ability. → Don't judge by appearances; watch actions and attitude.,Argumentation
92,Kalokop a domithong a da a maroronan on.,"So nganin a pikhonsi-konsian na igira a piyaka tana na da a miya nggona on a mapiya. Giyanan so 
galbek a marata a papagenesen na kagiya misampay sa Yaumul Qiyamah ko oriyan o 
kapatay na da bo kanggona-i o minggalbek on ka da on kabalasi.","A conspiracy is a plan by two or more people to commit wickedness and wrongdoings, and there 
is nothing good or constructive about it.","Defines conspiracy as inherently malicious, with no redeeming quality.
→ A clear moral stance against secretive or underhanded schemes.","Conspiracy is completely bad. → A strong moral stance against secret, dishonest plans.",Argumentation
93,So ranon ta ki lolot na idego-dego niyan a karata-rataa ta on.,"Mapiya i gagaw ta ko lolot na aya katawi niyan on na giyoto den i kambinasaa ta on -ibarat o 
mosawir ta on na pephaka rataan iyan sa ginawa niyan ka pethipon kon o ped iyan.","Some people see brotherly and compassionate advice as a negative act. As a result, even a single 
piece of advice was interpreted as a criticism.","A reflection on defensiveness and pride—how people reject genuine concern and advice by taking it as an attack.
→ Shows the fragile ego or distrust in relationships.","This reflects how pride makes people reject helpful advice, seeing it as an attack. → Shows insecurity or lack of trust.",Argumentation
94,Mawatan den ko alad i ba niyan on ka-ilid.,Ini tego den o taw a giya ngkoto a nganin na di den mapenggolaola.,"It is the kind of thing you'd never expect to happen, or it's extremely unlikely to happen or 
materialize.",Expresses doubt or disbelief—a reaction to an idea or event that's seen as unrealistic or implausible.,This expresses doubt—a reaction to something seen as unrealistic.,Argumentation
95,"Miya baya so penggok ka tig iyan o tholin ko, karam o toli ako i kagaka sa lendeban.",Aya katao niyan on na phangaromaan aken pangaromaan aken i aden a manga wata iyan odi na miya ogat,"One may be content with the thought of marrying her, but will I marry a pregnant mother 
(with or without a husband)?","A personal reflection on marriage expectations, questioning the social and moral implications of marrying someone pregnant—likely outside of a 
conventional or accepted context.",This questions the social and moral issues of marrying someone pregnant outside of traditional circumstances.,Argumentation
96,Phangiring-iring a pong si babendir a di moni.,"Oma-oma sa peda a dii mamag-omanti a soma-sayan sa matao a di bo phaka raw tharo, odi na 
soma-sayan sa mala a da bo a katawan ta","Pretending to be knowledgeable while unable to speak, or claiming to be someone when he has 
nothing to prove.",A jab at pretenders or frauds—people who claim expertise or status but lack evidence or capability.,This criticizes pretenders—people who claim expertise without proof.,Argumentation
97,Ba den mata-o thandig ko bongknol o ped iyan na di mata-o thandayaw ko bongkog ko likod iyan.,Aya bo a pekha ilay niyan na so pa-awing o ped iyan na di niyan khailay so karibatan odi na kamarataan iyan.,One only sees the flaws of others and is unable to recognize his own.,"Universal critique of hypocrisy and lack of self-awareness.
→ A call for introspection before criticizing others.",This criticizes hypocrisy and not being aware of one's own faults. → A call to examine oneself before criticizing others.,Argumentation
98,"Mapa-payag so “Ba” a pekhi rair o dila, na amay bo ka impiten na “Alip” a tomi-tindeg",Ba tano den madakel ogaid na amay bo ka thanton ka pagilain na saken bo i khalamba odi na miyaka taros.,"Too many of us want to contribute when building something, but I'm the only one who 
finished it in the end.","A reflection on false support or performative teamwork—many people want to be part of success, but few commit to the hard work.
→ Comment on responsibility and empty promises.","This reflects on fake support—many want to share success, but few do the work. → A comment on responsibility and insincere promises.",Argumentation
99,Taksil sa pelabi a pengginalawan ko ig a mag-iring sa Dagodob a ginanatan o sarog.,Di kano pekha babaya a ba niyo showaa a Dagodob (Lumba a Bayabao) ka sii rekami milelemba so kambilang a taw.,"Do not be so proud to pretend to be like Dagodob (Lumba a Bayabao), for we are the 
originators of a truly good personality","This challenges the arrogance or imitation of others, especially those claiming superiority, by asserting the speaker’s group or lineage as the true origin of 
virtue or noble character.","This challenges those who act superior, claiming the speaker's group is the true source of virtue.",Argumentation
100,Kilid sa pephatokal a melawan ka melabi a shayan sa Domagandar a phoonan o tabi-at.,Di kano aki pephangona-kona a ba niyo pelawani a Domagandar (Poona Bayabao) a ron phoon so mapiya a adat-parangay,"Don't try to be too proud ahead of Domagandar (Poona Bayabao), the originator of good manners 
and right conduct.","A warning not to outshine or disrespect a group or person recognized as the founder or symbol of proper behavior.
→ Acknowledging hierarchy and respect for those with cultural or moral authority.",This warns against disrespecting a group or person seen as the founder of good behavior. → Acknowledging respect for cultural or moral leaders.,Argumentation
